+----------------------------------+----------+
|              metric              |  value   |
+----------------------------------+----------+
|      test utmos_score_mean       |   3.45   |
|       test utmos_score_std       | 4.80e-01 |
|       test utmos_score_min       |   1.40   |
|       test utmos_score_max       |   4.44   |
|     test utmos_score_median      |   3.50   |
|       test utmos_score_q1        |   3.19   |
|       test utmos_score_q3        |   3.78   |
|       test utmos_score_iqr       | 5.90e-01 |
|       test nisqa_mos_mean        |   4.18   |
|        test nisqa_mos_std        | 5.86e-01 |
|        test nisqa_mos_min        |   1.53   |
|        test nisqa_mos_max        |   5.13   |
|      test nisqa_mos_median       |   4.34   |
|        test nisqa_mos_q1         |   3.89   |
|        test nisqa_mos_q3         |   4.61   |
|        test nisqa_mos_iqr        | 7.27e-01 |
|    test nisqa_noisiness_mean     |   3.91   |
|     test nisqa_noisiness_std     | 4.15e-01 |
|     test nisqa_noisiness_min     |   1.97   |
|     test nisqa_noisiness_max     |   4.67   |
|   test nisqa_noisiness_median    |   4.00   |
|     test nisqa_noisiness_q1      |   3.69   |
|     test nisqa_noisiness_q3      |   4.21   |
|     test nisqa_noisiness_iqr     | 5.26e-01 |
|  test nisqa_discontinuity_mean   |   4.34   |
|   test nisqa_discontinuity_std   | 4.54e-01 |
|   test nisqa_discontinuity_min   |   1.53   |
|   test nisqa_discontinuity_max   |   5.06   |
| test nisqa_discontinuity_median  |   4.45   |
|   test nisqa_discontinuity_q1    |   4.17   |
|   test nisqa_discontinuity_q3    |   4.64   |
|   test nisqa_discontinuity_iqr   | 4.76e-01 |
|    test nisqa_coloration_mean    |   3.96   |
|    test nisqa_coloration_std     | 5.09e-01 |
|    test nisqa_coloration_min     |   1.88   |
|    test nisqa_coloration_max     |   4.69   |
|   test nisqa_coloration_median   |   4.12   |
|     test nisqa_coloration_q1     |   3.71   |
|     test nisqa_coloration_q3     |   4.33   |
|    test nisqa_coloration_iqr     | 6.21e-01 |
|     test nisqa_loudness_mean     |   3.95   |
|     test nisqa_loudness_std      | 4.98e-01 |
|     test nisqa_loudness_min      |   1.56   |
|     test nisqa_loudness_max      |   4.76   |
|    test nisqa_loudness_median    |   4.07   |
|      test nisqa_loudness_q1      |   3.67   |
|      test nisqa_loudness_q3      |   4.34   |
|     test nisqa_loudness_iqr      | 6.67e-01 |
|        test asr_wer_mean         |   8.97   |
|         test asr_wer_std         |  16.36   |
|         test asr_wer_min         | 0.00e+00 |
|         test asr_wer_max         | 3.00e+02 |
|       test asr_wer_median        |   3.03   |
|         test asr_wer_q1          | 0.00e+00 |
|         test asr_wer_q3          |  11.76   |
|         test asr_wer_iqr         |  11.76   |
|        test asr_cer_mean         |   3.62   |
|         test asr_cer_std         |   9.21   |
|         test asr_cer_min         | 0.00e+00 |
|         test asr_cer_max         | 3.48e+02 |
|       test asr_cer_median        | 7.04e-01 |
|         test asr_cer_q1          | 0.00e+00 |
|         test asr_cer_q3          |   3.95   |
|         test asr_cer_iqr         |   3.95   |
|        test asr_dwer_mean        |   5.13   |
|        test asr_dwer_std         |  16.76   |
|        test asr_dwer_min         | 0.00e+00 |
|        test asr_dwer_max         | 6.50e+02 |
|       test asr_dwer_median       | 0.00e+00 |
|         test asr_dwer_q1         | 0.00e+00 |
|         test asr_dwer_q3         |   5.26   |
|        test asr_dwer_iqr         |   5.26   |
|        test asr_dcer_mean        |   2.44   |
|        test asr_dcer_std         |  11.54   |
|        test asr_dcer_min         | 0.00e+00 |
|        test asr_dcer_max         | 6.95e+02 |
|       test asr_dcer_median       | 0.00e+00 |
|         test asr_dcer_q1         | 0.00e+00 |
|         test asr_dcer_q3         |   1.94   |
|        test asr_dcer_iqr         |   1.94   |
|        test asr_wer_micro        |   6.90   |
|        test asr_cer_micro        |   2.89   |
|       test asr_dwer_micro        |   3.57   |
|       test asr_dcer_micro        |   1.67   |
|  test spk_sim_metric_score_mean  | 9.65e-01 |
|  test spk_sim_metric_score_std   | 2.67e-02 |
|  test spk_sim_metric_score_min   | 6.15e-01 |
|  test spk_sim_metric_score_max   | 9.97e-01 |
| test spk_sim_metric_score_median | 9.73e-01 |
|   test spk_sim_metric_score_q1   | 9.57e-01 |
|   test spk_sim_metric_score_q3   | 9.82e-01 |
|  test spk_sim_metric_score_iqr   | 2.43e-02 |
+----------------------------------+----------+
