+---------------------------------+----------+
|              metric             |  value   |
+---------------------------------+----------+
|      test utmos_score_mean      |   3.87   |
|       test utmos_score_std      | 3.03e-01 |
|       test utmos_score_min      |   2.87   |
|       test utmos_score_max      |   4.42   |
|     test utmos_score_median     |   3.89   |
|       test utmos_score_q1       |   3.66   |
|       test utmos_score_q3       |   4.11   |
|       test utmos_score_iqr      | 4.49e-01 |
|       test nisqa_mos_mean       |   4.12   |
|        test nisqa_mos_std       | 5.56e-01 |
|        test nisqa_mos_min       |   2.29   |
|        test nisqa_mos_max       |   4.97   |
|      test nisqa_mos_median      |   4.28   |
|        test nisqa_mos_q1        |   3.82   |
|        test nisqa_mos_q3        |   4.54   |
|        test nisqa_mos_iqr       | 7.15e-01 |
|    test nisqa_noisiness_mean    |   4.05   |
|     test nisqa_noisiness_std    | 1.57e-01 |
|     test nisqa_noisiness_min    |   3.13   |
|     test nisqa_noisiness_max    |   4.54   |
|   test nisqa_noisiness_median   |   4.07   |
|     test nisqa_noisiness_q1     |   3.97   |
|     test nisqa_noisiness_q3     |   4.15   |
|     test nisqa_noisiness_iqr    | 1.85e-01 |
|  test nisqa_discontinuity_mean  |   4.19   |
|   test nisqa_discontinuity_std  | 5.54e-01 |
|   test nisqa_discontinuity_min  |   2.31   |
|   test nisqa_discontinuity_max  |   4.85   |
| test nisqa_discontinuity_median |   4.41   |
|   test nisqa_discontinuity_q1   |   3.97   |
|   test nisqa_discontinuity_q3   |   4.58   |
|   test nisqa_discontinuity_iqr  | 6.12e-01 |
|    test nisqa_coloration_mean   |   4.08   |
|    test nisqa_coloration_std    | 3.83e-01 |
|    test nisqa_coloration_min    |   2.46   |
|    test nisqa_coloration_max    |   4.61   |
|   test nisqa_coloration_median  |   4.19   |
|     test nisqa_coloration_q1    |   3.91   |
|     test nisqa_coloration_q3    |   4.37   |
|    test nisqa_coloration_iqr    | 4.58e-01 |
|     test nisqa_loudness_mean    |   4.16   |
|     test nisqa_loudness_std     | 3.29e-01 |
|     test nisqa_loudness_min     |   2.59   |
|     test nisqa_loudness_max     |   4.82   |
|    test nisqa_loudness_median   |   4.21   |
|      test nisqa_loudness_q1     |   4.00   |
|      test nisqa_loudness_q3     |   4.40   |
|     test nisqa_loudness_iqr     | 3.94e-01 |
|        test asr_wer_mean        |   5.82   |
|         test asr_wer_std        |   9.66   |
|         test asr_wer_min        | 0.00e+00 |
|         test asr_wer_max        |  57.14   |
|       test asr_wer_median       | 0.00e+00 |
|         test asr_wer_q1         | 0.00e+00 |
|         test asr_wer_q3         |   8.33   |
|         test asr_wer_iqr        |   8.33   |
|        test asr_cer_mean        |   3.38   |
|         test asr_cer_std        |   7.61   |
|         test asr_cer_min        | 0.00e+00 |
|         test asr_cer_max        |  59.57   |
|       test asr_cer_median       | 0.00e+00 |
|         test asr_cer_q1         | 0.00e+00 |
|         test asr_cer_q3         |   2.81   |
|         test asr_cer_iqr        |   2.81   |
|        test asr_dwer_mean       |   2.04   |
|        test asr_dwer_std        |   5.04   |
|        test asr_dwer_min        | 0.00e+00 |
|        test asr_dwer_max        |  37.50   |
|       test asr_dwer_median      | 0.00e+00 |
|         test asr_dwer_q1        | 0.00e+00 |
|         test asr_dwer_q3        | 0.00e+00 |
|        test asr_dwer_iqr        | 0.00e+00 |
|        test asr_dcer_mean       | 7.80e-01 |
|        test asr_dcer_std        |   2.09   |
|        test asr_dcer_min        | 0.00e+00 |
|        test asr_dcer_max        |  21.74   |
|       test asr_dcer_median      | 0.00e+00 |
|         test asr_dcer_q1        | 0.00e+00 |
|         test asr_dcer_q3        | 0.00e+00 |
|        test asr_dcer_iqr        | 0.00e+00 |
|        test asr_wer_micro       |   5.20   |
|        test asr_cer_micro       |   3.10   |
|       test asr_dwer_micro       |   1.72   |
|       test asr_dcer_micro       | 6.49e-01 |
+---------------------------------+----------+a
