+---------------------------------+----------+
|              metric             |  value   |
+---------------------------------+----------+
|           Epoch loaded          |   200    |
|            test loss            |   2.87   |
|      test utmos_score_mean      |   3.76   |
|       test utmos_score_std      | 3.53e-01 |
|       test utmos_score_min      |   1.37   |
|       test utmos_score_max      |   4.42   |
|     test utmos_score_median     |   3.77   |
|       test utmos_score_q1       |   3.58   |
|       test utmos_score_q3       |   3.98   |
|       test utmos_score_iqr      | 3.98e-01 |
|       test nisqa_mos_mean       |   3.52   |
|        test nisqa_mos_std       | 6.26e-01 |
|        test nisqa_mos_min       |   1.46   |
|        test nisqa_mos_max       |   4.80   |
|      test nisqa_mos_median      |   3.51   |
|        test nisqa_mos_q1        |   3.05   |
|        test nisqa_mos_q3        |   4.03   |
|        test nisqa_mos_iqr       | 9.83e-01 |
|    test nisqa_noisiness_mean    |   3.95   |
|     test nisqa_noisiness_std    | 1.77e-01 |
|     test nisqa_noisiness_min    |   2.87   |
|     test nisqa_noisiness_max    |   4.38   |
|   test nisqa_noisiness_median   |   3.96   |
|     test nisqa_noisiness_q1     |   3.86   |
|     test nisqa_noisiness_q3     |   4.06   |
|     test nisqa_noisiness_iqr    | 1.92e-01 |
|  test nisqa_discontinuity_mean  |   3.63   |
|   test nisqa_discontinuity_std  | 6.65e-01 |
|   test nisqa_discontinuity_min  |   1.97   |
|   test nisqa_discontinuity_max  |   4.77   |
| test nisqa_discontinuity_median |   3.68   |
|   test nisqa_discontinuity_q1   |   3.11   |
|   test nisqa_discontinuity_q3   |   4.20   |
|   test nisqa_discontinuity_iqr  |   1.09   |
|    test nisqa_coloration_mean   |   3.66   |
|    test nisqa_coloration_std    | 5.03e-01 |
|    test nisqa_coloration_min    |   2.07   |
|    test nisqa_coloration_max    |   4.57   |
|   test nisqa_coloration_median  |   3.67   |
|     test nisqa_coloration_q1    |   3.30   |
|     test nisqa_coloration_q3    |   4.08   |
|    test nisqa_coloration_iqr    | 7.80e-01 |
|     test nisqa_loudness_mean    |   3.88   |
|     test nisqa_loudness_std     | 4.39e-01 |
|     test nisqa_loudness_min     |   1.86   |
|     test nisqa_loudness_max     |   4.68   |
|    test nisqa_loudness_median   |   3.93   |
|      test nisqa_loudness_q1     |   3.64   |
|      test nisqa_loudness_q3     |   4.21   |
|     test nisqa_loudness_iqr     | 5.67e-01 |
|        test asr_wer_mean        |  10.36   |
|         test asr_wer_std        |  13.31   |
|         test asr_wer_min        | 0.00e+00 |
|         test asr_wer_max        |  91.67   |
|       test asr_wer_median       |   5.88   |
|         test asr_wer_q1         | 0.00e+00 |
|         test asr_wer_q3         |  16.00   |
|         test asr_wer_iqr        |  16.00   |
|        test asr_cer_mean        |   6.17   |
|         test asr_cer_std        |   9.67   |
|         test asr_cer_min        | 0.00e+00 |
|         test asr_cer_max        |  59.57   |
|       test asr_cer_median       |   1.95   |
|         test asr_cer_q1         | 0.00e+00 |
|         test asr_cer_q3         |   8.37   |
|         test asr_cer_iqr        |   8.37   |
|        test asr_dwer_mean       |   7.90   |
|        test asr_dwer_std        |  11.78   |
|        test asr_dwer_min        | 0.00e+00 |
|        test asr_dwer_max        |  91.67   |
|       test asr_dwer_median      |   4.26   |
|         test asr_dwer_q1        | 0.00e+00 |
|         test asr_dwer_q3        |  12.00   |
|        test asr_dwer_iqr        |  12.00   |
|        test asr_dcer_mean       |   4.13   |
|        test asr_dcer_std        |   7.32   |
|        test asr_dcer_min        | 0.00e+00 |
|        test asr_dcer_max        |  53.85   |
|       test asr_dcer_median      | 8.23e-01 |
|         test asr_dcer_q1        | 0.00e+00 |
|         test asr_dcer_q3        |   5.47   |
|        test asr_dcer_iqr        |   5.47   |
|        test asr_wer_micro       |   9.96   |
|        test asr_cer_micro       |   6.08   |
|       test asr_dwer_micro       |   7.81   |
|       test asr_dcer_micro       |   4.18   |
+---------------------------------+----------+
